Rank,Name,All Sectors,Industrial,Domestic,Agricultural
1,Bahrain,5.00,5.00,5.00,5.00
1,Kuwait,5.00,5.00,5.00,5.00
1,Qatar,5.00,5.00,5.00,5.00
1,San Marino,5.00,5.00,5.00,5.00
1,Singapore,5.00,5.00,5.00,No data
1,United Arab Emirates,5.00,5.00,5.00,5.00
7,Saudi Arabia,5.00,5.00,5.00,5.00
8,Israel,4.99,4.99,4.99,5.00
9,Palestine,4.95,4.93,4.94,4.99
10,Oman,4.94,4.93,4.94,4.94
11,Kyrgyzstan,4.91,4.90,4.89,4.92
12,Lebanon,4.89,4.89,4.89,4.88
13,Yemen,4.88,4.77,4.76,4.88
14,Iran,4.86,4.95,4.95,4.85
15,Jordan,4.84,4.85,4.83,4.83
16,Libya,4.74,4.52,4.52,4.78
17,Kazakhstan,4.66,4.49,4.50,4.77
18,Morocco,4.50,4.34,4.32,4.52
19,Iraq,4.49,4.40,4.38,4.56
20,Pakistan,4.42,4.20,4.14,4.44
21,Macedonia,4.37,4.36,4.23,4.46
22,Syria,4.37,4.71,4.65,4.31
23,Azerbaijan,4.34,4.29,4.28,4.38
24,Armenia,4.34,4.31,4.36,4.34
25,Turkmenistan,4.26,4.28,4.18,4.26
26,Uzbekistan,4.12,4.43,4.41,4.05
27,Greece,4.11,4.01,4.01,4.12
28,Turkey,4.10,4.43,4.36,3.95
29,Chile,4.09,4.61,4.55,4.02
30,Afghanistan,4.07,3.35,3.55,4.12
31,Spain,3.93,3.53,3.53,4.09
32,Mexico,3.85,3.26,3.19,3.99
33,Dominican Republic,3.78,3.58,3.57,3.94
34,Mongolia,3.77,4.00,4.00,3.36
35,Algeria,3.76,3.88,3.84,3.68
36,Tunisia,3.74,4.15,4.11,3.67
37,India,3.66,3.26,3.19,3.74
38,Belgium,3.64,3.64,3.65,3.01
39,Italy,3.60,3.52,3.53,3.72
40,Monaco,3.51,3.51,3.51,3.51
41,Eritrea,3.50,3.55,3.54,3.48
42,Estonia,3.46,3.47,3.35,1.27
43,Andorra,3.44,3.39,3.45,3.49
44,Australia,3.41,3.50,3.49,3.40
45,Tajikistan,3.38,3.55,3.31,3.36
46,Portugal,3.30,3.15,3.16,3.37
47,China,3.29,3.17,3.06,3.44
48,United States of America,3.24,2.83,2.81,4.11
49,Peru,3.17,3.13,3.02,3.19
50,Ukraine,3.10,3.03,3.02,3.70
51,Timor-Leste,3.05,3.09,3.11,3.02
52,South Africa,3.04,2.77,2.69,3.14
53,Sri Lanka,2.98,2.75,2.78,3.22
54,Indonesia,2.96,3.12,2.96,2.81
55,Albania,2.93,2.96,3.02,2.84
56,Cuba,2.86,2.88,2.86,2.85
57,Haiti,2.85,2.78,2.79,2.92
58,Philippines,2.80,2.71,2.67,3.08
59,Luxembourg,2.77,2.77,2.77,2.76
60,Moldova,2.75,2.83,2.67,2.44
61,Argentina,2.69,2.51,2.43,2.96
62,Kosovo,2.68,2.74,2.81,2.02
63,Namibia,2.61,4.21,3.14,1.54
64,South Korea,2.58,2.42,2.42,2.84
65,Swaziland,2.52,2.01,2.02,2.60
66,United Kingdom,2.48,2.48,2.47,2.87
67,Georgia,2.46,2.30,2.25,2.67
68,Botswana,2.40,2.71,2.70,0.56
69,Japan,2.31,2.23,2.22,2.48
70,Netherlands,2.27,2.27,2.27,2.35
71,Nepal,2.18,2.29,2.12,2.18
72,France,2.15,2.23,2.22,1.77
73,Lithuania,2.15,2.15,2.14,1.93
74,Poland,2.02,2.02,2.02,2.21
75,Venezuela,1.94,2.56,2.54,1.69
76,Ecuador,1.92,1.32,1.31,2.09
77,Thailand,1.90,1.77,1.63,1.93
78,Czech Republic,1.80,1.80,1.80,1.88
79,Bulgaria,1.78,1.77,1.69,2.86
80,Germany,1.75,1.75,1.76,1.68
81,Ireland,1.73,1.94,1.83,1.25
82,Finland,1.72,1.76,1.65,0.63
83,Russia,1.70,1.55,1.55,3.06
84,Somalia,1.64,1.55,1.74,1.32
85,Sweden,1.62,1.65,1.63,0.92
86,Taiwan,1.54,1.41,1.40,1.98
87,North Korea,1.53,1.50,1.51,1.57
88,Lesotho,1.52,1.52,1.52,1.52
89,Egypt,1.48,2.10,2.31,1.22
90,Sudan,1.45,1.73,1.64,1.43
91,Romania,1.44,1.49,1.55,1.32
92,Belarus,1.33,1.33,1.34,1.37
93,Malaysia,1.31,1.29,1.22,1.67
94,Switzerland,1.21,1.19,1.22,1.28
95,Canada,1.13,1.00,1.00,3.28
96,Montenegro,1.03,0.97,1.05,1.44
97,Vietnam,1.02,1.07,1.02,1.01
98,Costa Rica,0.97,0.59,0.58,1.46
99,Slovakia,0.96,1.01,1.02,0.58
100,Zimbabwe,0.95,1.01,0.94,0.95
101,United Republic of Tanzania,0.95,0.64,0.62,1.20
102,Madagascar,0.94,0.53,0.52,0.97
103,Angola,0.88,0.90,0.63,1.04
104,Republic of Serbia,0.86,0.85,0.92,0.42
105,Brazil,0.86,0.94,0.92,0.81
106,Guatemala,0.82,0.69,0.63,1.13
107,Latvia,0.81,0.81,0.80,0.56
108,Senegal,0.77,1.00,0.95,0.72
109,Hungary,0.76,0.74,0.76,1.29
110,El Salvador,0.75,0.72,0.71,0.80
111,Mauritania,0.75,1.24,1.25,0.60
112,Honduras,0.72,0.67,0.65,0.86
113,Nigeria,0.65,0.56,0.53,1.06
114,Guyana,0.64,0.30,0.30,0.72
115,Ethiopia,0.63,0.51,0.45,0.73
116,New Zealand,0.62,0.64,0.63,0.60
